index,Лемма,Часть речи,Частота (ipm)
785,необходимо,adv,149.0
786,свободный,a,149.0
787,ребята,s,148.9
788,обычный,a,148.7
789,кабинет,s,148.5
790,прекрасный,a,148.4
791,высший,a,147.8
792,кричать,v,147.3
793,прежде,pr,147.3
794,магазин,s,147.2
795,пространство,s,147.2
796,выход,s,147.0
797,остановиться,v,147.0
798,удар,s,146.8
799,база,s,146.7
800,знание,s,146.4
801,текст,s,146.2
802,сюда,advpro,146.1
803,темный,a,146.0
804,защита,s,145.9
805,предлагать,v,145.9
806,руководство,s,145.7
807,вовсе,adv,145.3
808,площадь,s,145.2
809,сознание,s,145.2
810,гражданский,a,144.7
811,убить,v,144.7
812,возраст,s,144.5
813,молчать,v,144.5
814,согласиться,v,144.2
815,участник,s,144.2
816,участок,s,144.2
817,рано,adv,144.1
818,пункт,s,144.0
819,несмотря,adv,143.9
820,сильно,adv,143.9
821,столь,advpro,143.9
822,сообщить,v,143.8
823,линия,s,143.7
824,бежать,v,143.6
825,желание,s,143.6
826,папа,s,143.4
827,кажется,adv,143.2
828,петь,v,143.2
829,доктор,s,143.1
830,губа,s,143.0
831,известно,adv,143.0
832,дома,adv,142.5
833,вызывать,v,142.4
834,дочь,s,142.4
835,показаться,v,142.4
836,среда,s,142.4
837,председатель,s,142.3
838,представление,s,142.2
839,солдат,s,142.2
840,художник,s,142.2
841,принести,v,141.9
842,волос,s,141.8
843,оружие,s,141.8
844,выглядеть,v,141.7
845,соответствие,s,141.0
846,никак,advpro,140.5
847,ветер,s,140.3
848,внешний,a,140.3
849,парень,s,140.3
850,служить,v,140.3
851,зрение,s,140.2
852,попросить,v,140.2
853,генерал,s,140.0
854,состоять,v,139.9
855,огонь,s,139.8
856,отдать,v,139.8
857,боевой,a,139.6
858,понятие,s,139.4
859,строительство,s,139.4
860,ухо,s,139.3
861,выступать,v,138.8
862,грудь,s,138.8
863,нос,s,138.8
864,ставить,v,138.7
865,завтра,adv,138.5
866,возникать,v,138.4
867,когда,advpro,138.4
868,страх,s,138.4
869,услуга,s,138.3
870,рабочий,a,138.0
871,что-нибудь,spro,137.6
872,глубокий,a,137.3
873,содержание,s,137.3
874,радость,s,137.2
875,безопасность,s,137.1
876,надеяться,v,137.1
877,продукт,s,136.7
878,видимо,adv,136.4
879,комплекс,s,136.3
880,бизнес,s,136.2
881,подняться,v,136.2
882,вспоминать,v,135.9
883,мало,adv,135.8
884,сад,s,135.8
885,долгий,a,135.5
886,одновременно,adv,135.4
887,называться,v,135.3
888,сотрудник,s,135.1
889,лето,s,135.0
890,тихо,adv,135.0
891,зато,conj,134.9
892,прямой,a,134.8
893,курс,s,134.5
894,помогать,v,134.5
895,предложение,s,134.5
896,финансовый,a,134.5
897,открытый,a,134.4
898,почему-то,advpro,134.4
899,значить,v,134.0
900,возникнуть,v,133.6
901,рот,s,133.6
902,где-то,advpro,133.5
903,технология,s,133.5
904,знакомый,a,133.4
905,недавно,adv,133.3
906,реформа,s,133.1
907,отсутствие,s,132.4
908,нынешний,a,132.3
909,собака,s,132.2
910,камень,s,131.9
911,будущее,s,131.4
912,звать,v,131.3
913,рассказ,s,131.3
914,контроль,s,131.2
915,позвонить,v,131.0
916,река,s,131.0
917,хватать,v,130.9
918,продукция,s,130.8
919,сумма,s,130.6
920,техника,s,130.5
921,исторический,a,130.4
922,вновь,adv,130.3
923,народный,a,130.3
924,прямо,part,130.3
925,ибо,conj,130.0
926,выпить,v,129.9
927,здание,s,129.9
928,сфера,s,129.5
929,знаменитый,a,129.4
930,иначе,advpro,129.2
931,потерять,v,129.2
932,необходимость,s,129.1
933,больший,a,128.9
934,фонд,s,128.6
935,иметься,v,128.4
936,вперед,adv,128.1
937,подготовка,s,127.9
938,вчера,adv,127.6
939,лист,s,127.6
940,пустой,a,127.5
941,очередной,a,127.4
942,республика,s,127.4
943,хозяйство,s,127.2
944,полностью,adv,127.0
945,получаться,v,127.0
946,учиться,v,126.9
947,плохо,adv,126.5
948,воля,s,126.4
949,судебный,a,126.1
950,бюджет,s,126.0
951,возвращаться,v,125.8
952,расти,v,125.8
953,снег,s,125.2
954,деревня,s,125.1
955,обнаружить,v,125.0
956,мужик,s,124.7
957,постоянно,adv,124.6
958,зеленый,a,124.4
959,элемент,s,124.4
960,обстоятельство,s,124.2
961,почувствовать,v,124.2
962,немец,s,124.1
963,многое,spro,124.0
964,победа,s,124.0
965,источник,s,123.7
966,немецкий,a,123.6
967,золотой,a,123.5
968,передать,v,123.5
969,технический,a,123.4
970,нормальный,a,123.2
971,едва,adv,123.1
972,желать,v,123.1
973,ожидать,v,123.0
974,некий,apro,122.8
975,звезда,s,122.7
976,городской,a,122.4
977,выбор,s,122.0
978,соответствующий,a,121.8
979,масса,s,121.7
980,составить,v,121.6
981,итог,s,121.5
982,сестра,s,121.3
983,что,advpro,121.2
984,шесть,num,120.9
985,ясно,adv,120.8
986,практика,s,120.7
987,сто,num,120.7
988,нести,v,120.6
989,определить,v,120.6
990,проведение,s,120.6
991,карман,s,120.5
992,любимый,a,120.4
993,родной,a,120.3
994,западный,a,120.2
995,обязательно,adv,120.2
996,слава,s,120.2
997,кухня,s,120.1
998,определение,s,120.1
999,пользоваться,v,120.1
1000,быстрый,a,119.8
1001,функция,s,119.6
1002,войско,s,119.4
1003,комиссия,s,119.3
1004,применение,s,119.3
1005,капитан,s,119.0
1006,работник,s,119.0
1007,улыбнуться,v,119.0
1008,холодный,a,119.0
1009,обеспечение,s,118.8
1010,офицер,s,118.7
1011,появляться,v,118.4
1012,конкретный,a,118.1
1013,фамилия,s,118.1
1014,предел,s,118.0
1015,прямо,adv,118.0
1016,смеяться,v,117.9
1017,выборы,s,117.7
1018,иностранный,a,117.4
1019,уехать,v,117.4
1020,ученый,s,117.4
1021,вроде,part,117.3
1022,левый,a,117.2
1023,счастливый,a,117.2
1024,бутылка,s,117.1
1025,бой,s,117.0
1026,подходить,v,116.9
1027,судить,v,116.8
1028,родиться,v,116.7
1029,теория,s,116.5
1030,зона,s,116.4
1031,отдел,s,116.2
1032,зуб,s,116.0
1033,разработка,s,115.9
1034,отказаться,v,115.8
1035,святой,a,115.8
1036,считаться,v,115.7
1037,точный,a,115.7
1038,занять,v,115.6
1039,личность,s,115.6
1040,гора,s,115.5
1041,добавить,v,115.5
1042,товар,s,115.5
1043,звонить,v,115.4
1044,медленно,adv,115.4
1045,носить,v,115.3
1046,метр,s,115.2
1047,начинаться,v,115.1
1048,зависеть,v,115.0
1049,праздник,s,115.0
1050,влияние,s,114.9
1051,построить,v,114.9
1052,читатель,s,114.7
1053,частый,a,114.6
1054,удовольствие,s,114.5
1055,актер,s,114.4
1056,слеза,s,114.2
1057,создавать,v,114.1
1058,значительный,a,113.9
1059,ответственность,s,113.8
1060,учитель,s,113.8
1061,акт,s,113.6
1062,встретить,v,113.5
1063,принадлежать,v,113.5
1064,произнести,v,113.5
1065,боль,s,113.3
1066,множество,s,113.3
1067,связанный,a,113.2
1068,особенность,s,113.0
1069,участвовать,v,113.0
1070,показатель,s,112.9
1071,занимать,v,112.7
1072,корабль,s,112.5
1073,уверенный,a,112.5
1074,звук,s,112.4
1075,тонкий,a,112.4
1076,центральный,a,112.4
1077,впечатление,s,112.3
1078,спокойно,adv,112.1
1079,частность,s,112.0
1080,детство,s,111.9
1081,вывод,s,111.8
1082,профессор,s,111.8
1083,будущий,a,111.7
1084,доля,s,111.4
1085,норма,s,111.3
1086,улыбаться,v,111.3
1087,прошлое,s,111.2
1088,возле,pr,111.0
1089,командир,s,110.9
1090,коридор,s,110.8
1091,поддержка,s,110.6
1092,рамка,s,110.6
1093,вскоре,adv,110.5
1094,лучше,part,110.5
1095,сквозь,pr,110.5
1096,враг,s,110.3
1097,ладно,part,110.3
1098,этап,s,110.3
1099,черт,s,110.2
1100,дед,s,110.1
1101,направить,v,109.9
1102,собрание,s,109.9
1103,прием,s,109.8
1104,физический,a,109.8
1105,болезнь,s,109.6
1106,клетка,s,109.6
1107,кожа,s,109.5
1108,заявление,s,109.3
1109,ради,pr,109.2
1110,попытка,s,109.1
1111,сравнение,s,109.1
1112,только,conj,109.0
1113,расчет,s,108.9
1114,когда-то,advpro,108.8
1115,депутат,s,108.7
1116,то,part,108.7
1117,частный,a,108.7
1118,обратиться,v,108.6
1119,мелкий,a,108.5
1120,невозможно,adv,108.5
1121,английский,a,108.4
1122,постоянный,a,108.4
1123,комитет,s,108.1
1124,знак,s,108.0
1125,выбрать,v,107.9
1126,примерно,adv,107.8
1127,бить,v,107.5
1128,дядя,s,107.5
1129,учет,s,107.4
1130,хлеб,s,107.4
1131,тихий,a,107.3
1132,хватить,v,107.3
1133,обещать,v,107.2
1134,ли,conj,106.9
1135,встречаться,v,106.8
1136,чай,s,106.8
1137,режим,s,106.7
1138,целое,s,106.6
1139,вирус,s,106.5
1140,гораздо,adv,106.5
1141,тридцать,num,106.5
1142,выражение,s,106.4
1143,напоминать,v,106.2
1144,уж,adv,106.2
1145,неожиданно,adv,106.1
1146,здоровье,s,106.0
1147,зима,s,106.0
1148,упасть,v,106.0
1149,перестать,v,105.8
1150,десяток,s,105.7
1151,глубина,s,105.6
1152,сеть,s,105.5
1153,студент,s,105.4
1154,обладать,v,105.2
1155,секунда,s,105.2
